provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
middesk,mcc_code,5521,"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing (MCC)",business_classification_context,business,business,low,neutral,false,false,5521,,,active,"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing"
middesk,mcc_code,5531,Auto and Home Supply Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5531,,,active,Auto and Home Supply Stores
middesk,mcc_code,5532,Automotive Tire Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5532,,,active,Automotive Tire Stores
middesk,mcc_code,5533,Automotive Parts and Accessories Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5533,,,active,Automotive Parts and Accessories Stores
middesk,mcc_code,5541,Service Stations (MCC),business_classification_context,business,business,low,neutral,false,false,5541,,,active,Service Stations
middesk,mcc_code,5542,Automated Fuel Dispensers (MCC),business_classification_context,business,business,low,neutral,false,false,5542,,,active,Automated Fuel Dispensers
middesk,mcc_code,5551,Boat Dealers (MCC),business_classification_context,business,business,low,neutral,false,false,5551,,,active,Boat Dealers
middesk,mcc_code,5552,Electric Vehicle Charging (MCC),business_classification_context,business,business,low,neutral,false,false,5552,,,active,Electric Vehicle Charging
middesk,mcc_code,5561,"Motorcycle Shops, Dealers (MCC)",business_classification_context,business,business,low,neutral,false,false,5561,,,active,"Motorcycle Shops, Dealers"
middesk,mcc_code,5571,Motorcycle Shops and Dealers (MCC),business_classification_context,business,business,low,neutral,false,false,5571,,,active,Motorcycle Shops and Dealers
middesk,mcc_code,5592,Motor Homes Dealers (MCC),business_classification_context,business,business,low,neutral,false,false,5592,,,active,Motor Homes Dealers
middesk,mcc_code,5598,Snowmobile Dealers (MCC),business_classification_context,business,business,low,neutral,false,false,5598,,,active,Snowmobile Dealers
middesk,mcc_code,5599,Miscellaneous Auto Dealers (MCC),business_classification_context,business,business,low,neutral,false,false,5599,,,active,Miscellaneous Auto Dealers
middesk,mcc_code,5611,Office Administrative Services (MCC),business_classification_context,business,business,low,neutral,false,false,5611,,,active,Office Administrative Services
middesk,mcc_code,5611,Mens and Boys Clothing and Accessories Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5611,,,active,Mens and Boys Clothing and Accessories Stores
middesk,mcc_code,5621,Waste Collection (MCC),business_classification_context,business,business,low,neutral,false,false,5621,,,active,Waste Collection
middesk,mcc_code,5621,Womens Ready-To-Wear Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5621,,,active,Womens Ready-To-Wear Stores
middesk,mcc_code,5631,Womens Accessory and Specialty Shops (MCC),business_classification_context,business,business,low,neutral,false,false,5631,,,active,Womens Accessory and Specialty Shops
middesk,mcc_code,5641,Childrens and Infants Wear Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5641,,,active,Childrens and Infants Wear Stores
middesk,mcc_code,5651,Family Clothing Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5651,,,active,Family Clothing Stores
