reason_code_id,code,description,service_name,service_internal_name,service_id,middesk_bucket
12751,5948,Luggage and Leather Goods Stores (MCC),Middesk,Middesk,641,mcc
12824,5949,"Sewing, Needlework, Fabric, and Piece Goods Stores (MCC)",Middesk,Middesk,641,mcc
12723,5950,"Glassware, Crystal Stores (MCC)",Middesk,Middesk,641,mcc
12678,5960,Direct Marketing - Insurance Services (MCC),Middesk,Middesk,641,mcc
12682,5962,Direct Marketing - Travel (MCC),Middesk,Middesk,641,mcc
12685,5963,Door-To-Door Sales (MCC),Middesk,Middesk,641,mcc
12675,5964,Direct Marketing - Catalog Merchant (MCC),Middesk,Middesk,641,mcc
12676,5965,Direct Marketing - Combination Catalog and Retail Merchant (MCC),Middesk,Middesk,641,mcc
12680,5966,Direct Marketing - Outbound Telemarketing (MCC),Middesk,Middesk,641,mcc
12677,5967,Direct Marketing - Inbound Telemarketing (MCC),Middesk,Middesk,641,mcc
12681,5968,Direct Marketing - Subscription (MCC),Middesk,Middesk,641,mcc
12679,5969,Direct Marketing - Other (MCC),Middesk,Middesk,641,mcc
12599,5970,Artists Supply and Craft Shops (MCC),Middesk,Middesk,641,mcc
12598,5971,Art Dealers and Galleries (MCC),Middesk,Middesk,641,mcc
12835,5972,Stamp and Coin Stores (MCC),Middesk,Middesk,641,mcc
12818,5973,Religious Goods Stores (MCC),Middesk,Middesk,641,mcc
12734,5975,Hearing Aids Sales and Supplies (MCC),Middesk,Middesk,641,mcc
12793,5976,Orthopedic Goods - Prosthetic Devices (MCC),Middesk,Middesk,641,mcc
12658,5977,Cosmetic Stores (MCC),Middesk,Middesk,641,mcc
12861,5978,Typewriter Stores (MCC),Middesk,Middesk,641,mcc
12715,5983,Fuel Dealers (Non Automotive) (MCC),Middesk,Middesk,641,mcc
12712,5992,Florists (MCC),Middesk,Middesk,641,mcc
12640,5993,Cigar Stores and Stands (MCC),Middesk,Middesk,641,mcc
12784,5994,News Dealers and Newsstands (MCC),Middesk,Middesk,641,mcc
12800,5995,"Pet Shops, Pet Food, and Supplies (MCC)",Middesk,Middesk,641,mcc
12838,5996,Swimming Pools Sales (MCC),Middesk,Middesk,641,mcc
12695,5997,Electric Razor Stores (MCC),Middesk,Middesk,641,mcc
12847,5998,Tent and Awning Shops (MCC),Middesk,Middesk,641,mcc
12775,5999,Miscellaneous Specialty Retail (MCC),Middesk,Middesk,641,mcc
12753,6010,Manual Cash Disburse (MCC),Middesk,Middesk,641,mcc
12604,6011,Automated Cash Disburse (MCC),Middesk,Middesk,641,mcc
12708,6012,Financial Institutions (MCC),Middesk,Middesk,641,mcc
12785,6051,"Non-FI, Money Orders (MCC)",Middesk,Middesk,641,mcc
11626,6211,Offices of Physicians (MCC),Middesk,Middesk,641,mcc
12822,6211,Security Brokers/Dealers (MCC),Middesk,Middesk,641,mcc
12744,6300,"Insurance Underwriting, Premiums (MCC)",Middesk,Middesk,641,mcc
12743,6399,Insurance - Default (MCC),Middesk,Middesk,641,mcc
12815,6513,Real Estate Agents and Managers - Rentals (MCC),Middesk,Middesk,641,mcc
12786,6540,"Non-FI, Stored Value Card Purchase/Load (MCC)",Middesk,Middesk,641,mcc
12739,7011,"Hotels, Motels, and Resorts (MCC)",Middesk,Middesk,641,mcc
12850,7012,Timeshares (MCC),Middesk,Middesk,641,mcc
12832,7032,Sporting/Recreation Camps (MCC),Middesk,Middesk,641,mcc
12855,7033,"Trailer Parks, Campgrounds (MCC)",Middesk,Middesk,641,mcc
12749,7210,"Laundry, Cleaning Services (MCC)",Middesk,Middesk,641,mcc
11655,7211,Traveler Accommodation (MCC),Middesk,Middesk,641,mcc
12748,7211,Laundries (MCC),Middesk,Middesk,641,mcc
12690,7216,Dry Cleaners (MCC),Middesk,Middesk,641,mcc
12632,7217,Carpet/Upholstery Cleaning (MCC),Middesk,Middesk,641,mcc
12803,7221,Photographic Studios (MCC),Middesk,Middesk,641,mcc
12612,7230,Barber and Beauty Shops (MCC),Middesk,Middesk,641,mcc
12825,7251,Shoe Repair/Hat Cleaning (MCC),Middesk,Middesk,641,mcc
12716,7261,"Funeral Services, Crematories (MCC)",Middesk,Middesk,641,mcc
12667,7273,Dating/Escort Services (MCC),Middesk,Middesk,641,mcc
12842,7276,Tax Preparation Services (MCC),Middesk,Middesk,641,mcc
12659,7277,Counseling Services (MCC),Middesk,Middesk,641,mcc
12623,7278,Buying/Shopping Services (MCC),Middesk,Middesk,641,mcc
12643,7296,Clothing Rental (MCC),Middesk,Middesk,641,mcc
12757,7297,Massage Parlors (MCC),Middesk,Middesk,641,mcc
12733,7298,Health and Beauty Spas (MCC),Middesk,Middesk,641,mcc
12770,7299,Miscellaneous General Services (MCC),Middesk,Middesk,641,mcc
12587,7311,Advertising Services (MCC),Middesk,Middesk,641,mcc
12663,7321,Credit Reporting Agencies (MCC),Middesk,Middesk,641,mcc
12647,7333,"Commercial Photography, Art and Graphics (MCC)",Middesk,Middesk,641,mcc
12813,7338,"Quick Copy, Repro, and Blueprint (MCC)",Middesk,Middesk,641,mcc
12821,7339,Secretarial Support Services (MCC),Middesk,Middesk,641,mcc
12705,7342,Exterminating Services (MCC),Middesk,Middesk,641,mcc
12642,7349,Cleaning and Maintenance (MCC),Middesk,Middesk,641,mcc
12703,7361,Employment/Temp Agencies (MCC),Middesk,Middesk,641,mcc
12650,7372,Computer Programming (MCC),Middesk,Middesk,641,mcc
12742,7375,Information Retrieval Services (MCC),Middesk,Middesk,641,mcc
12651,7379,Computer Repair (MCC),Middesk,Middesk,641,mcc
12656,7392,"Consulting, Public Relations (MCC)",Middesk,Middesk,641,mcc
12670,7393,Detective Agencies (MCC),Middesk,Middesk,641,mcc
12704,7394,Equipment Rental (MCC),Middesk,Middesk,641,mcc
12802,7395,Photo Developing (MCC),Middesk,Middesk,641,mcc
12767,7399,Miscellaneous Business Services (MCC),Middesk,Middesk,641,mcc
12858,7511,Truck StopIteration (MCC),Middesk,Middesk,641,mcc
12627,7512,Car Rental Agencies (MCC),Middesk,Middesk,641,mcc
12859,7513,Truck/Utility Trailer Rentals (MCC),Middesk,Middesk,641,mcc
12817,7519,Recreational Vehicle Rentals (MCC),Middesk,Middesk,641,mcc
12797,7523,"Parking Lots, Garages (MCC)",Middesk,Middesk,641,mcc
12600,7531,Auto Body Repair Shops (MCC),Middesk,Middesk,641,mcc
12851,7534,Tire Retreading and Repair (MCC),Middesk,Middesk,641,mcc
12601,7535,Auto Paint Shops (MCC),Middesk,Middesk,641,mcc
12602,7538,Auto Service Shops (MCC),Middesk,Middesk,641,mcc
12628,7542,Car Washes (MCC),Middesk,Middesk,641,mcc
12854,7549,Towing Services (MCC),Middesk,Middesk,641,mcc
12699,7622,Electronics Repair Shops (MCC),Middesk,Middesk,641,mcc
12586,7623,"A/C, Refrigeration Repair (MCC)",Middesk,Middesk,641,mcc
12827,7629,Small Appliance Repair (MCC),Middesk,Middesk,641,mcc
12872,7631,Watch/Jewelry Repair (MCC),Middesk,Middesk,641,mcc
12717,7641,"Furniture Repair, Refinishing (MCC)",Middesk,Middesk,641,mcc
12873,7692,Welding Repair (MCC),Middesk,Middesk,641,mcc
12774,7699,Miscellaneous Repair Shops (MCC),Middesk,Middesk,641,mcc
12729,7800,Government-Owned Lotteries (US Region only) (MCC),Middesk,Middesk,641,mcc
12725,7801,Government Licensed On-line Casinos (On-Line Gambling)(US Region only) (MCC),Middesk,Middesk,641,mcc
12727,7802,Government-Licensed Horse/Dog Racing (US Region only) (MCC),Middesk,Middesk,641,mcc
12805,7829,Picture/Video Production (MCC),Middesk,Middesk,641,mcc
12777,7832,Motion Picture Theaters (MCC),Middesk,Middesk,641,mcc
12870,7841,Video Tape Rental Stores (MCC),Middesk,Middesk,641,mcc
12666,7911,"Dance Hall, Studios, Schools (MCC)",Middesk,Middesk,641,mcc
12849,7922,Theatrical Ticket Agencies (MCC),Middesk,Middesk,641,mcc
12611,7929,"Bands, Orchestras (MCC)",Middesk,Middesk,641,mcc
12615,7932,Billiard/Pool Establishments (MCC),Middesk,Middesk,641,mcc
12620,7933,Bowling Alleys (MCC),Middesk,Middesk,641,mcc
12833,7941,Sports Clubs/Fields (MCC),Middesk,Middesk,641,mcc
12853,7991,Tourist Attractions and Exhibits (MCC),Middesk,Middesk,641,mcc
12724,7992,Golf Courses - Public (MCC),Middesk,Middesk,641,mcc
12868,7993,Video Amusement Game Supplies (MCC),Middesk,Middesk,641,mcc
12869,7994,Video Game Arcades (MCC),Middesk,Middesk,641,mcc
12613,7995,Betting/Casino Gambling (MCC),Middesk,Middesk,641,mcc
12593,7996,Amusement Parks/Carnivals (MCC),Middesk,Middesk,641,mcc
12660,7997,Country Clubs (MCC),Middesk,Middesk,641,mcc
12596,7998,Aquariums (MCC),Middesk,Middesk,641,mcc
12773,7999,Miscellaneous Recreation Services (MCC),Middesk,Middesk,641,mcc
12684,8011,Doctors (MCC),Middesk,Middesk,641,mcc
12668,8021,"Dentists, Orthodontists (MCC)",Middesk,Middesk,641,mcc
12794,8031,Osteopaths (MCC),Middesk,Middesk,641,mcc
12639,8041,Chiropractors (MCC),Middesk,Middesk,641,mcc
12792,8042,"Optometrists, Ophthalmologist (MCC)",Middesk,Middesk,641,mcc
12791,8043,"Opticians, Eyeglasses (MCC)",Middesk,Middesk,641,mcc
12638,8049,"Chiropodists, Podiatrists (MCC)",Middesk,Middesk,641,mcc
12789,8050,Nursing/Personal Care (MCC),Middesk,Middesk,641,mcc
12738,8062,Hospitals (MCC),Middesk,Middesk,641,mcc
12759,8071,Medical and Dental Labs (MCC),Middesk,Middesk,641,mcc
12758,8099,Medical Services (MCC),Middesk,Middesk,641,mcc
11665,8111,Automotive Repair and Maintenance (MCC),Middesk,Middesk,641,mcc
12750,8111,"Legal Services, Attorneys (MCC)",Middesk,Middesk,641,mcc
12701,8211,"Elementary, Secondary Schools (MCC)",Middesk,Middesk,641,mcc
12644,8220,"Colleges, Universities (MCC)",Middesk,Middesk,641,mcc
12657,8241,Correspondence Schools (MCC),Middesk,Middesk,641,mcc
12622,8244,Business/Secretarial Schools (MCC),Middesk,Middesk,641,mcc
12871,8249,Vocational/Trade Schools (MCC),Middesk,Middesk,641,mcc
12694,8299,Educational Services (MCC),Middesk,Middesk,641,mcc
12636,8351,Child Care Services (MCC),Middesk,Middesk,641,mcc
12634,8398,Charitable and Social Service Organizations - Fundraising (MCC),Middesk,Middesk,641,mcc
12641,8641,"Civic, Social, Fraternal Associations (MCC)",Middesk,Middesk,641,mcc
12808,8651,Political Organizations (MCC),Middesk,Middesk,641,mcc
12819,8661,Religious Organizations (MCC),Middesk,Middesk,641,mcc
12606,8675,Automobile Associations (MCC),Middesk,Middesk,641,mcc
12761,8699,Membership Organizations (MCC),Middesk,Middesk,641,mcc
12848,8734,Testing Laboratories (MCC),Middesk,Middesk,641,mcc
12597,8911,Architectural/Surveying Services (MCC),Middesk,Middesk,641,mcc
12588,8931,Accounting/Bookkeeping Services (MCC),Middesk,Middesk,641,mcc
12811,8999,Professional Services (MCC),Middesk,Middesk,641,mcc
11680,9211,"Executive, Legislative, and Other General Government Support (MCC)",Middesk,Middesk,641,mcc
12662,9211,"Court Costs, Including Alimony and Child Support - Courts of Law (MCC)",Middesk,Middesk,641,mcc
12709,9222,Fines - Government Administrative Entities (MCC),Middesk,Middesk,641,mcc
12609,9223,Bail and Bond Payments (MCC),Middesk,Middesk,641,mcc
12841,9311,Tax Payments - Government Agencies (MCC),Middesk,Middesk,641,mcc
12726,9399,Government Services (Not Elsewhere Classified) (MCC),Middesk,Middesk,641,mcc
12809,9402,Postal Services - Government Only (MCC),Middesk,Middesk,641,mcc
12862,9405,U.S. Federal Government Agencies or Departments (MCC),Middesk,Middesk,641,mcc
12728,9406,Government-Owned Lotteries (Non-US region) (MCC),Middesk,Middesk,641,mcc
12702,9702,Emergency Services (GCAS) (Visa use only) (MCC),Middesk,Middesk,641,mcc
12745,9950,Intra-Company Purchases (MCC),Middesk,Middesk,641,mcc
